152.png	waving hand	👋️	\U0001F44B\U0000FE0F	U+1F44B	waving hand
153.png	raised back of hand	🤚️	\U0001F91A\U0000FE0F	U+1F91A	raised back of hand
154.png	hand with fingers splayed	🖐️	\U0001F590\U0000FE0F	U+1F590	hand with fingers splayed
155.png	raised hand	✋️	\U0000270B\U0000FE0F	U+270B	raised hand
156.png	vulcan salute	🖖️	\U0001F596\U0000FE0F	U+1F596	vulcan salute
157.png	OK hand	👌️	\U0001F44C\U0000FE0F	U+1F44C	OK hand
158.png	pinched fingers	🤌️	\U0001F90C\U0000FE0F	U+1F90C	pinched fingers
159.png	pinching hand	🤏️	\U0001F90F\U0000FE0F	U+1F90F	pinching hand
160.png	victory hand	✌️	\U0000270C\U0000FE0F	U+270C	victory hand
161.png	crossed fingers	🤞️	\U0001F91E\U0000FE0F	U+1F91E	crossed fingers
162.png	love-you gesture	🤟️	\U0001F91F\U0000FE0F	U+1F91F	love-you gesture
163.png	sign of the horns	🤘️	\U0001F918\U0000FE0F	U+1F918	sign of the horns
164.png	call me hand	🤙️	\U0001F919\U0000FE0F	U+1F919	call me hand
165.png	backhand index pointing left	👈️	\U0001F448\U0000FE0F	U+1F448	backhand index pointing left
166.png	backhand index pointing right	👉️	\U0001F449\U0000FE0F	U+1F449	backhand index pointing right
167.png	backhand index pointing up	👆️	\U0001F446\U0000FE0F	U+1F446	backhand index pointing up
168.png	middle finger	🖕️	\U0001F595\U0000FE0F	U+1F595	middle finger
169.png	backhand index pointing down	👇️	\U0001F447\U0000FE0F	U+1F447	backhand index pointing down
170.png	index pointing up	☝️	\U0000261D\U0000FE0F	U+261D	index pointing up
171.png	thumbs up	👍️	\U0001F44D\U0000FE0F	U+1F44D	thumbs up
172.png	thumbs down	👎️	\U0001F44E\U0000FE0F	U+1F44E	thumbs down
173.png	raised fist	✊️	\U0000270A\U0000FE0F	U+270A	raised fist
174.png	oncoming fist	👊️	\U0001F44A\U0000FE0F	U+1F44A	oncoming fist
175.png	left-facing fist	🤛️	\U0001F91B\U0000FE0F	U+1F91B	left-facing fist
176.png	right-facing fist	🤜️	\U0001F91C\U0000FE0F	U+1F91C	right-facing fist
177.png	clapping hands	👏️	\U0001F44F\U0000FE0F	U+1F44F	clapping hands
178.png	raising hands	🙌️	\U0001F64C\U0000FE0F	U+1F64C	raising hands
179.png	open hands	👐️	\U0001F450\U0000FE0F	U+1F450	open hands
180.png	palms up together	🤲️	\U0001F932\U0000FE0F	U+1F932	palms up together
181.png	handshake	🤝️	\U0001F91D\U0000FE0F	U+1F91D	handshake
182.png	folded hands	🙏️	\U0001F64F\U0000FE0F	U+1F64F	folded hands
183.png	writing hand	✍️	\U0000270D\U0000FE0F	U+270D	writing hand
184.png	nail polish	💅️	\U0001F485\U0000FE0F	U+1F485	nail polish
185.png	selfie	🤳️	\U0001F933\U0000FE0F	U+1F933	selfie
186.png	flexed biceps	💪️	\U0001F4AA\U0000FE0F	U+1F4AA	flexed biceps
187.png	mechanical arm	🦾️	\U0001F9BE\U0000FE0F	U+1F9BE	mechanical arm
188.png	mechanical leg	🦿️	\U0001F9BF\U0000FE0F	U+1F9BF	mechanical leg
189.png	leg	🦵️	\U0001F9B5\U0000FE0F	U+1F9B5	leg
190.png	foot	🦶️	\U0001F9B6\U0000FE0F	U+1F9B6	foot
191.png	ear	👂️	\U0001F442\U0000FE0F	U+1F442	ear
192.png	ear with hearing aid	🦻️	\U0001F9BB\U0000FE0F	U+1F9BB	ear with hearing aid
193.png	nose	👃️	\U0001F443\U0000FE0F	U+1F443	nose
194.png	brain	🧠️	\U0001F9E0\U0000FE0F	U+1F9E0	brain
195.png	anatomical heart	🫀️	\U0001FAC0\U0000FE0F	U+1FAC0	anatomical heart
196.png	lungs	🫁️	\U0001FAC1\U0000FE0F	U+1FAC1	lungs
197.png	tooth	🦷️	\U0001F9B7\U0000FE0F	U+1F9B7	tooth
198.png	bone	🦴️	\U0001F9B4\U0000FE0F	U+1F9B4	bone
199.png	eyes	👀️	\U0001F440\U0000FE0F	U+1F440	eyes
200.png	eye	👁️	\U0001F441\U0000FE0F	U+1F441	eye
201.png	tongue	👅️	\U0001F445\U0000FE0F	U+1F445	tongue
202.png	mouth	👄️	\U0001F444\U0000FE0F	U+1F444	mouth
203.png	baby	👶️	\U0001F476\U0000FE0F	U+1F476	baby
204.png	child	🧒️	\U0001F9D2\U0000FE0F	U+1F9D2	child
205.png	boy	👦️	\U0001F466\U0000FE0F	U+1F466	boy
